B15196,CO concentration (invented),ppb,201,200,154,255,0.00000000116,0.0
B15197,SO2 concentration (invented),ppb,200,200,155,0,0.00000000266,0.0
B15197,SO2 concentration (invented),ppb,200,200,155,255,0.00000000266,0.0
B15197,SO2 concentration (invented),ppb,201,200,155,0,0.00000000266,0.0
B15197,SO2 concentration (invented),ppb,201,200,155,255,0.00000000266,0.0
B15198,PM2.5 concentration (invented),ug/m**3,200,195,3,0,0.000000001,0.0
B15198,PM2.5 concentration (invented),ug/m**3,200,195,3,255,0.000000001,0.0
B15198,PM2.5 concentration (invented),ug/m**3,200,200,221,0,0.000000001,0.0
B15198,PM2.5 concentration (invented),ug/m**3,200,200,221,255,0.000000001,0.0
B15198,PM2.5 concentration (invented),ug/m**3,201,200,221,0,0.000000001,0.0
B15198,PM2.5 concentration (invented),ug/m**3,201,200,221,255,0.000000001,0.0
B15199,NOY concentration (invented),ppb,200,200,209,0,0.00000000191,0.0
B15199,NOY concentration (invented),ppb,200,200,209,255,0.00000000191,0.0
B15199,NOY concentration (invented),ppb,201,200,209,0,0.00000000191,0.0
B15199,NOY concentration (invented),ppb,201,200,209,255,0.00000000191,0.0
B15200,HCNM concentration (invented),ppb,200,200,214,0,0.000000001,0.0
B15200,HCNM concentration (invented),ppb,200,200,214,255,0.000000001,0.0
B15200,HCNM concentration (invented),ppb,201,200,214,0,0.000000001,0.0
B15200,HCNM concentration (invented),ppb,201,200,214,255,0.000000001,0.0
B15201,ALDE concentration (invented),ppb,200,200,215,0,0.000000001,0.0
B15201,ALDE concentration (invented),ppb,200,200,215,255,0.000000001,0.0
B15201,ALDE concentration (invented),ppb,201,200,215,0,0.000000001,0.0
B15201,ALDE concentration (invented),ppb,201,200,215,255,0.000000001,0.0
B15202,PM5 concentration (invented),ug/m**3,200,195,2,0,0.000000001,0.0
B15202,PM5 concentration (invented),ug/m**3,200,195,2,255,0.000000001,0.0
B15202,PM5 concentration (invented),ug/m**3,200,200,2,0,0.000000001,0.0
B15202,PM5 concentration (invented),ug/m**3,200,200,2,255,0.000000001,0.0
B15203,PM1 concentration (invented),ug/m**3,200,195,4,0,0.000000001,0.0
B15203,PM1 concentration (invented),ug/m**3,200,195,4,255,0.000000001,0.0
B15203,PM1 concentration (invented),ug/m**3,200,200,232,0,0.000000001,0.0
B15203,PM1 concentration (invented),ug/m**3,200,200,232,255,0.000000001,0.0
B15204,PM06 concentration (invented),ug/m**3,200,195,5,0,0.000000001,0.0
B15204,PM06 concentration (invented),ug/m**3,200,195,5,255,0.000000001,0.0
B15204,PM06 concentration (invented),ug/m**3,200,200,235,0,0.000000001,0.0
B15204,PM06 concentration (invented),ug/m**3,200,200,235,255,0.000000001,0.0
B15205,PM03 concentration (invented),ug/m**3,200,195,6,0,0.000000001,0.0
B15205,PM03 concentration (invented),ug/m**3,200,195,6,255,0.000000001,0.0
B15205,PM03 concentration (invented),ug/m**3,200,200,233,0,0.000000001,0.0
B15205,PM03 concentration (invented),ug/m**3,200,200,233,255,0.000000001,0.0
B15206,PM015 concentration (invented),ug/m**3,200,195,7,0,0.000000001,0.0
B15206,PM015 concentration (invented),ug/m**3,200,195,7,255,0.000000001,0.0
B15206,PM015 concentration (invented),ug/m**3,200,200,236,0,0.000000001,0.0
B15206,PM015 concentration (invented),ug/m**3,200,200,236,255,0.000000001,0.0
B15207,PM008 concentration (invented),ug/m**3,200,195,8,0,0.000000001,0.0
B15207,PM008 concentration (invented),ug/m**3,200,195,8,255,0.000000001,0.0
B15208,Concentration of primary particulate matter in PM10 (invented),ug/m**3,200,195,9,0,0.000000001,0.0
B15208,Concentration of primary particulate matter in PM10 (invented),ug/m**3,200,195,9,255,0.000000001,0.0
B15208,Concentration of primary particulate matter in PM10 (invented),ug/m**3,200,200,241,0,0.000000001,0.0
B15208,Concentration of primary particulate matter in PM10 (invented),ug/m**3,200,200,241,255,0.000000001,0.0
B15208,Concentration of primary particulate matter in PM10 (invented),ug/m**3,201,200,241,0,0.000000001,0.0
B15208,Concentration of primary particulate matter in PM10 (invented),ug/m**3,201,200,241,255,0.000000001,0.0
B15209,Concentration of sulfate in PM10 (invented),ug/m**3,200,195,10,0,0.000000001,0.0
B15209,Concentration of sulfate in PM10 (invented),ug/m**3,200,195,10,255,0.000000001,0.0
B15209,Concentration of sulfate in PM10 (invented),ug/m**3,200,200,242,0,0.000000001,0.0
B15209,Concentration of sulfate in PM10 (invented),ug/m**3,200,200,242,255,0.000000001,0.0
B15209,Concentration of sulfate in PM10 (invented),ug/m**3,201,200,242,0,0.000000001,0.0
B15209,Concentration of sulfate in PM10 (invented),ug/m**3,201,200,242,255,0.000000001,0.0
B15210,Concentration of nitrate in PM10 (invented),ug/m**3,200,195,11,0,0.000000001,0.0
B15210,Concentration of nitrate in PM10 (invented),ug/m**3,200,195,11,255,0.000000001,0.0
B15210,Concentration of nitrate in PM10 (invented),ug/m**3,200,200,243,0,0.000000001,0.0
B15210,Concentration of nitrate in PM10 (invented),ug/m**3,200,200,243,255,0.000000001,0.0
B15210,Concentration of nitrate in PM10 (invented),ug/m**3,201,200,243,0,0.000000001,0.0
B15210,Concentration of nitrate in PM10 (invented),ug/m**3,201,200,243,255,0.000000001,0.0
B15211,Concentration of ammonium in PM10 (invented),ug/m**3,200,195,12,0,0.000000001,0.0
B15211,Concentration of ammonium in PM10 (invented),ug/m**3,200,195,12,255,0.000000001,0.0
B15211,Concentration of ammonium in PM10 (invented),ug/m**3,200,200,244,0,0.000000001,0.0
B15211,Concentration of ammonium in PM10 (invented),ug/m**3,200,200,244,255,0.000000001,0.0
B15211,Concentration of ammonium in PM10 (invented),ug/m**3,201,200,244,0,0.000000001,0.0
B15211,Concentration of ammonium in PM10 (invented),ug/m**3,201,200,244,255,0.000000001,0.0
B15212,Concentration of black carbon in PM10 (invented),ug/m**3,200,195,13,0,0.000000001,0.0
B15212,Concentration of black carbon in PM10 (invented),ug/m**3,200,195,13,255,0.000000001,0.0
B15212,Concentration of black carbon in PM10 (invented),ug/m**3,200,200,245,0,0.000000001,0.0
B15212,Concentration of black carbon in PM10 (invented),ug/m**3,200,200,245,255,0.000000001,0.0
B15212,Concentration of black carbon in PM10 (invented),ug/m**3,201,200,245,0,0.000000001,0.0
